El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Barajas;Madrid;
2005;Anual;10,68;18,62;
2006;Anual;11,15;18,74;
2007;Anual;11,37;18,76;
2008;Anual;11,86;18,58;
2009;Anual;12,4;18,58;
2010;Anual;12,96;18,77;
2011;Anual;13,58;19,04;
2012;Anual;14,27;19,36;
2013;Anual;14,95;19,67;
2014;Anual;15,9;20,18;
2015;Anual;16,66;20,49;
2016;Anual;16,95;20,46;
2017;Anual;17,31;20,46;
2018;Anual;17,62;20,39;
2019;Anual;17,77;20,26;
2020;Anual;17,91;20,06;
2021;Anual;17,89;20,03;
2022;Anual;18,77;20,28;
2023;Anual;19,08;20,2;
2024;Anual;19,11;19,97;
2025;Anual;19,43;20,01;
