El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Barajas;Madrid;
2005;Anual;22,64;26,61;
2006;Anual;23,15;27,11;
2007;Anual;23,56;28,12;
2008;Anual;23,65;28,96;
2009;Anual;23,74;29,9;
2010;Anual;23,33;30,78;
2011;Anual;22,75;31,72;
2012;Anual;22,7;32,61;
2013;Anual;23,06;33,51;
2014;Anual;23,2;34,33;
2015;Anual;23,24;35,02;
2016;Anual;23,78;35,49;
2017;Anual;23,83;36,1;
2018;Anual;24,3;36,19;
2019;Anual;24,8;36;
2020;Anual;24,9;35,2;
2021;Anual;26,3;35,4;
2022;Anual;26,8;35;
2023;Anual;27,81;34,59;
2024;Anual;29,3;34,7;
2025;Anual;31,04;34,76;
