El municipio en cifras
Índice de feminidad
Año;Periodos;Barajas;Madrid;
2005;Anual;102,3;112,8;
2006;Anual;102,2;112,5;
2007;Anual;102,8;112,6;
2008;Anual;103,5;112,4;
2009;Anual;104;112,3;
2010;Anual;104,9;112,7;
2011;Anual;105,3;113,3;
2012;Anual;105,9;114;
2013;Anual;105,8;114,5;
2014;Anual;105,9;114,8;
2015;Anual;105,8;115;
2016;Anual;106,3;114,9;
2017;Anual;106,6;114,8;
2018;Anual;106,8;114,7;
2019;Anual;107;114,7;
2020;Anual;107,1;114,5;
2021;Anual;107,2;114,4;
2022;Anual;108;114,1;
2023;Anual;108,5;114,1;
2024;Anual;108,1;113,5;
2025;Anual;108,5;113,1;
