El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Barajas;Madrid;
2005;Anual;12,7;16,3;
2006;Anual;14,1;17,9;
2007;Anual;14,4;18,4;
2008;Anual;15,4;19,8;
2009;Anual;16,3;20,8;
2010;Anual;16,9;21,1;
2011;Anual;17,1;21,1;
2012;Anual;16,4;20,4;
2013;Anual;15,9;20,2;
2014;Anual;15;19,5;
2015;Anual;14,5;19,3;
2016;Anual;14,4;19,7;
2017;Anual;14,6;20,1;
2018;Anual;14,99;21,03;
2019;Anual;15,6;22,16;
2020;Anual;16,31;23,61;
2021;Anual;16,67;24,32;
2022;Anual;16,88;24,62;
2023;Anual;17,83;26,3;
2024;Anual;19,24;28,76;
2025;Anual;20,48;30,22;
