El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Barajas;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;9,97;14,29;
2006;Anual;11,29;15,82;
2007;Anual;11,39;15,86;
2008;Anual;12,23;16,9;
2009;Anual;12,95;17,47;
2010;Anual;13,35;17,34;
2011;Anual;13,15;16,93;
2012;Anual;11,89;15,43;
2013;Anual;11,02;14,41;
2014;Anual;9,78;13,14;
2015;Anual;8,79;12,07;
2016;Anual;8,6;12,19;
2017;Anual;8,6;12,41;
2018;Anual;8,86;13,12;
2019;Anual;9,41;14,1;
2020;Anual;10,1;15,32;
2021;Anual;10,26;15,82;
2022;Anual;10,04;15,74;
2023;Anual;10,63;17,08;
2024;Anual;11,58;18,99;
2025;Anual;12,31;19,99;
