El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Barajas;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;548;822;1.370;42.053;92.109;134.162
2; 80 - 84;719;958;1.677;42.412;68.809;111.221
3; 75 - 79;980;1.358;2.338;53.602;80.108;133.710
4; 70 - 74;870;1.274;2.144;60.418;83.243;143.661
5; 65 - 69;1.083;1.205;2.288;80.493;102.569;183.062
6; 60 - 64;1.443;1.653;3.096;102.853;122.998;225.851
7; 55 - 59;1.844;1.960;3.804;116.074;132.847;248.921
8; 50 - 54;2.216;2.431;4.647;126.476;138.636;265.112
9; 45 - 49;2.127;2.370;4.497;130.316;139.236;269.552
10; 40 - 44;1.743;1.929;3.672;122.467;127.825;250.292
11; 35 - 39;1.390;1.529;2.919;122.464;125.667;248.131
12; 30 - 34;1.290;1.332;2.622;133.726;137.801;271.527
13; 25 - 29;1.277;1.326;2.603;124.072;132.589;256.661
14; 20 - 24;1.502;1.362;2.864;100.514;102.254;202.768
15; 15 - 19;1.593;1.450;3.043;84.747;81.427;166.174
16; 10 - 14;1.515;1.374;2.889;77.909;75.033;152.942
17; 5 - 9;1.218;1.154;2.372;71.169;68.166;139.335
18; 0 - 4;878;816;1.694;63.996;60.839;124.835
