El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Barajas;Madrid;
2015;Enero;8,91;11,24;
2015;Febrero;8,99;11,3;
2015;Marzo;8,83;11,24;
2015;Abril;8,6;10,97;
2015;Mayo;8,2;10,62;
2015;Junio;7,97;10,33;
2015;Julio;7,96;10,25;
2015;Agosto;8,06;10,39;
2015;Septiembre;7,85;10,35;
2015;Octubre;7,84;10,4;
2015;Noviembre;7,74;10,27;
2015;Diciembre;7,74;10,07;
2016;Enero;7,76;10,23;
2016;Febrero;7,92;10,27;
2016;Marzo;7,83;10,22;
2016;Abril;7,72;10,02;
2016;Mayo;7,5;9,72;
2016;Junio;7,45;9,56;
2016;Julio;7,37;9,46;
2016;Agosto;7,49;9,57;
2016;Septiembre;7,14;9,46;
2016;Octubre;7,13;9,46;
2016;Noviembre;7,1;9,34;
2016;Diciembre;6,96;9,09;
2017;Enero;7,06;9,29;
2017;Febrero;7,14;9,35;
2017;Marzo;7,13;9,2;
2017;Abril;6,97;8,95;
2017;Mayo;6,84;8,74;
2017;Junio;6,51;8,6;
2017;Julio;6,5;8,63;
2017;Agosto;6,67;8,74;
2017;Septiembre;6,67;8,7;
2017;Octubre;6,67;8,7;
2017;Noviembre;6,34;8,48;
2017;Diciembre;6,31;8,28;
2018;Enero;6,44;8,53;
2018;Febrero;6,48;8,57;
2018;Marzo;6,38;8,48;
2018;Abril;6,29;8,3;
2018;Mayo;6,08;8,05;
2018;Junio;5,74;7,85;
2018;Julio;5,68;7,85;
2018;Agosto;5,62;7,91;
2018;Septiembre;5,75;7,87;
2018;Octubre;5,77;7,81;
2018;Noviembre;5,64;7,67;
2018;Diciembre;5,55;7,48;
2019;Enero;5,91;7,73;
2019;Febrero;5,96;7,82;
2019;Marzo;5,94;7,8;
2019;Abril;5,81;7,66;
2019;Mayo;5,59;7,48;
2019;Junio;5,58;7,35;
2019;Julio;5,66;7,37;
2019;Agosto;5,77;7,49;
2019;Septiembre;5,61;7,43;
2019;Octubre;5,62;7,52;
2019;Noviembre;5,73;7,45;
2019;Diciembre;5,62;7,3;
2020;Enero;5,76;7,54;
2020;Febrero;5,88;7,57;
2020;Marzo;6,09;7,8;
2020;Abril;6,75;8,74;
2020;Mayo;7,24;9,14;
2020;Junio;7,26;9,16;
2020;Julio;7,43;9,37;
2020;Agosto;7,55;9,5;
2020;Septiembre;7,34;9,36;
2020;Octubre;7,53;9,51;
2020;Noviembre;7,51;9,51;
2020;Diciembre;7,46;9,54;
2021;Enero;7,6;9,71;
2021;Febrero;7,81;9,87;
2021;Marzo;7,65;9,83;
2021;Abril;7,55;9,72;
2021;Mayo;7,22;9,48;
2021;Junio;7,19;9,29;
2021;Julio;6,95;9,14;
2021;Agosto;7;9,17;
2021;Septiembre;6,83;8,95;
2021;Octubre;6,61;8,71;
2021;Noviembre;6,45;8,51;
2021;Diciembre;6,04;7,91;
2022;Enero;5,82;7,74;
2022;Febrero;5,47;7,33;
2022;Marzo;5,52;7,28;
2022;Abril;5,46;7,01;
2022;Mayo;5,27;6,68;
2022;Junio;5,18;6,5;
2022;Julio;5,2;6,56;
2022;Agosto;5,23;6,6;
2022;Septiembre;5,19;6,6;
2022;Octubre;5,04;6,57;
2022;Noviembre;5,03;6,42;
2022;Diciembre;4,87;6,33;
2023;Enero;5,02;6,56;
2023;Febrero;5,03;6,67;
2023;Marzo;5,06;6,72;
2023;Abril;4,94;6,59;
2023;Mayo;4,85;6,38;
2023;Junio;4,84;6,32;
2023;Julio;4,93;6,2;
2023;Agosto;4,85;6,23;
2023;Septiembre;4,79;6,26;
2023;Octubre;4,86;6,23;
2023;Noviembre;4,73;6,13;
2023;Diciembre;4,59;6,02;
2024;Enero;4,65;6,23;
2024;Febrero;4,64;6,22;
2024;Marzo;4,65;6,24;
2024;Abril;4,51;6,07;
2024;Mayo;4,37;5,94;
2024;Junio;4,31;5,84;
2024;Julio;4,37;5,83;
2024;Agosto;4,38;5,87;
2024;Septiembre;4,42;5,87;
2024;Octubre;4,43;5,85;
2024;Noviembre;4,4;5,76;
2024;Diciembre;4,79;5,68;
2025;Enero;4,75;5,75;
2025;Febrero;4,89;5,84;
2025;Marzo;4,4;5,89;
2025;Abril;4,5;5,82;
2025;Mayo;4,51;5,69;
2025;Junio;4,44;5,57;
2025;Julio;4,6;5,59;
2025;Agosto;4,67;5,7;
2025;Septiembre;4,64;5,66;
2025;Octubre;4,62;5,71;
2025;Noviembre;4,64;5,64;
2025;Diciembre;4,6;5,61;
2026;Enero;4,64;5,69;
2026;Febrero;4,54;5,76;
