El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Barajas;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;118,91;71;
2011;Anual;126,22;69,87;
2012;Anual;130,95;70,49;
2013;Anual;125,05;73;
2014;Anual;127,67;73,66;
2015;Anual;129,85;76,17;
2016;Anual;152,92;79,58;
2017;Anual;156,18;81,08;
2018;Anual;155,76;83,22;
2019;Anual;158,74;85,23;
2020;Anual;156,99;85,5;
2021;Anual;153,13;83,51;
2022;Anual;128,1;88,8;
2023;Anual;133,88;91,68;
