El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Barajas;Madrid;
2005;Anual;16,02;13,59;
2006;Anual;16,39;13,6;
2007;Anual;16,9;13,72;
2008;Anual;16,96;13,87;
2009;Anual;17,17;14,05;
2010;Anual;17,53;14,19;
2011;Anual;17,78;14,29;
2012;Anual;18,01;14,4;
2013;Anual;18,1;14,46;
2014;Anual;18,25;14,48;
2015;Anual;18,36;14,5;
2016;Anual;18,46;14,51;
2017;Anual;18,62;14,49;
2018;Anual;18,46;14,37;
2019;Anual;18,33;14,22;
2020;Anual;18,08;13,98;
2021;Anual;17,66;13,76;
2022;Anual;16,73;13,55;
2023;Anual;16,19;13,29;
2024;Anual;15,62;13,03;
2025;Anual;14,95;12,74;
