El municipio en cifras
Parados registrados
Año;Periodos;Barajas;
2012;Diciembre;2718;
2013;Enero;2801;
2013;Febrero;2833;
2013;Marzo;2838;
2013;Abril;2790;
2013;Mayo;2807;
2013;Junio;2793;
2013;Julio;2815;
2013;Agosto;2846;
2013;Septiembre;2821;
2013;Octubre;2855;
2013;Noviembre;2838;
2013;Diciembre;2794;
2014;Enero;2895;
2014;Febrero;2882;
2014;Marzo;2830;
2014;Abril;2712;
2014;Mayo;2644;
2014;Junio;2555;
2014;Julio;2648;
2014;Agosto;2722;
2014;Septiembre;2699;
2014;Octubre;2691;
2014;Noviembre;2666;
2014;Diciembre;2572;
2015;Enero;2655;
2015;Febrero;2682;
2015;Marzo;2638;
2015;Abril;2576;
2015;Mayo;2452;
2015;Junio;2390;
2015;Julio;2392;
2015;Agosto;2413;
2015;Septiembre;2350;
2015;Octubre;2352;
2015;Noviembre;2321;
2015;Diciembre;2319;
2016;Enero;2326;
2016;Febrero;2381;
2016;Marzo;2351;
2016;Abril;2323;
2016;Mayo;2263;
2016;Junio;2241;
2016;Julio;2219;
2016;Agosto;2253;
2016;Septiembre;2151;
2016;Octubre;2143;
2016;Noviembre;2140;
2016;Diciembre;2100;
2017;Enero;2127;
2017;Febrero;2152;
2017;Marzo;2152;
2017;Abril;2105;
2017;Mayo;2069;
2017;Junio;1976;
2017;Julio;1978;
2017;Agosto;2031;
2017;Septiembre;2032;
2017;Octubre;1994;
2017;Noviembre;1937;
2017;Diciembre;1929;
2018;Enero;1974;
2018;Febrero;1992;
2018;Marzo;1965;
2018;Abril;1943;
2018;Mayo;1882;
2018;Junio;1781;
2018;Julio;1760;
2018;Agosto;1744;
2018;Septiembre;1789;
2018;Octubre;1789;
2018;Noviembre;1763;
2018;Diciembre;1741;
2019;Enero;1854;
2019;Febrero;1874;
2019;Marzo;1865;
2019;Abril;1830;
2019;Mayo;1768;
2019;Junio;1769;
2019;Julio;1800;
2019;Agosto;1839;
2019;Septiembre;1793;
2019;Octubre;1799;
2019;Noviembre;1838;
2019;Diciembre;1804;
2020;Enero;1850;
2020;Febrero;1894;
2020;Marzo;1962;
2020;Abril;2176;
2020;Mayo;2335;
2020;Junio;2345;
2020;Julio;2402;
2020;Agosto;2440;
2020;Septiembre;2375;
2020;Octubre;2436;
2020;Noviembre;2434;
2020;Diciembre;2420;
2021;Enero;2465;
2021;Febrero;2532;
2021;Marzo;2467;
2021;Abril;2439;
2021;Mayo;2335;
2021;Junio;2323;
2021;Julio;2251;
2021;Agosto;2266;
2021;Septiembre;2219;
2021;Octubre;2150;
2021;Noviembre;2098;
2021;Diciembre;1969;
2022;Enero;1888;
2022;Febrero;1771;
2022;Marzo;1735;
2022;Abril;1720;
2022;Mayo;1666;
2022;Junio;1640;
2022;Julio;1646;
2022;Agosto;1646;
2022;Septiembre;1635;
2022;Octubre;1591;
2022;Noviembre;1591;
2022;Diciembre;1536;
2023;Enero;1583;
2023;Febrero;1588;
2023;Marzo;1598;
2023;Abril;1560;
2023;Mayo;1547;
2023;Junio;1545;
2023;Julio;1586;
2023;Agosto;1563;
2023;Septiembre;1545;
2023;Octubre;1572;
2023;Noviembre;1531;
2023;Diciembre;1490;
2024;Enero;1511;
2024;Febrero;1513;
2024;Marzo;1519;
2024;Abril;1475;
2024;Mayo;1436;
2024;Junio;1418;
2024;Julio;1440;
2024;Agosto;1443;
2024;Septiembre;1458;
2024;Octubre;1467;
2024;Noviembre;1796;
2024;Diciembre;1593;
2025;Enero;1580;
2025;Febrero;1630;
2025;Marzo;1463;
2025;Abril;1499;
2025;Mayo;1494;
2025;Junio;1470;
2025;Julio;1528;
2025;Agosto;1548;
2025;Septiembre;1536;
2025;Octubre;1539;
2025;Noviembre;1544;
2025;Diciembre;1536;
2026;Enero;1548;
2026;Febrero;1516;
