El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Barajas;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;5,06;8;
2011;Anual;5,14;8,38;
2012;Anual;4,63;8,52;
2013;Anual;4,95;9;
2014;Anual;5,68;8,85;
2015;Anual;6,01;9,26;
2016;Anual;6,03;9,39;
2017;Anual;6,46;9,54;
2018;Anual;4,55;9,62;
2019;Anual;7,05;8,96;
2020;Anual;7,51;8,95;
2021;Anual;7,62;8,87;
2022;Anual;8,3;9,02;
2023;Anual;8,38;9,8;
2024;Anual;;;
2025;Anual;;9;
