,address,initial_price,final_price
0,"calle del doctor blanco soler, 6, Madrid","11.711,15","13.171,12"
1,"calle de domingo párraga, 2, Madrid","88.955,80","129.875,03"
2,"calle del cardenal cisneros, 9, Madrid","370.050,85","421.857,57"
3,"calle de castrillo de aza, 11, Madrid","162.296,97","238.229,70"
4,"calle de ricardo ortiz, 126, Madrid","129.834,35","218.121,12"
5,"calle de peña ubiña, 20, Madrid","18.070,31","45.307,03"
6,"plaza de redondela, 8, Madrid","68.887,49","54.888,75"
7,"paseo de ferroviarios, 3, Madrid","218.500,00","152.950,00"
8,"calle astilleros, 10, Madrid","300.000,00","126.000,00"
9,"calle de gainza, 323, Madrid","163.889,00","168.500,00"
10,"calle de la costa del sol, 14, Madrid","240.500,00","197.210,00"
11,"calle de alberdi, 42, Madrid","211.800,00","173.676,00"
12,"calle braojos, 62, Madrid","289.589,90","272.414,13"
13,"calle de sáhara, 89, Madrid","208.560,00","145.992,00"
14,"calle de josé de cadalso, 94, Madrid","220.858,44","181.103,97"
15,"calle de las islas antípodas, 5, Madrid","156.727,00","153.592,46"
16,"calle de las islas antípodas, 5, Madrid","266.871,00","282.883,26"
17,"calle de las islas antípodas, 5, Madrid","217.091,00","234.458,28"
18,"calle de las islas antípodas, 5, Madrid","166.671,00","180.004,68"
19,"calle de carracedo, 11, Madrid","251.220,00","145.707,60"
20,"calle de santa cruz de marcenado, 4, Madrid","1.227.230,00","1.129.051,60"
21,"calle de la silvina, 26, Madrid","239.699,25","340.372,58"
22,"calle del castillo de oropesa, 37, Madrid","293.482,50","153.600,00"
23,"calle sierra de mira, 4, Madrid","202.500,00","158.150,00"
24,"calle de badalona, 90, Madrid","240.930,00","221.655,60"
25,"calle de valleguerra, 14, Madrid","198.200,00","174.860,00"
26,"calle de alberdi, 40, Madrid","221.700,00","190.662,00"
27,"calle de la imagen, 32, Madrid","11.484,00","30.317,76"
28,"calle del doctor piga, 11, Madrid","163.552,95","255.341,90"
29,"calle de ventura de la vega, 2, Madrid","1.558.953,29","2.400.787,62"
30,"calle de agustín rojas, 5, Madrid","370.102,40","362.699,96"
31,"calle de pirra, 34, Madrid","261.094,05","208.875,20"
32,"paseo de los perales, 15, Madrid","123.429,00","177.737,76"
33,"calle de martín de vargas, 46, Madrid","517.521,55","465.769,35"
34,"calle santa maría reina, 11, Madrid","118.044,00","204.200,00"
35,"calle romeral, 3, Madrid","196.560,00","161.379,20"
36,"calle zubieta, 2, Madrid","351.820,00","138.000,00"
37,"calle martín muñoz de las posadas, 8, Madrid","141.743,00","170.091,60"
38,"calle de marcelo usera, 49, Madrid","206.600,00","144.620,00"
39,"calle de benimamet, 69, Madrid","127.126,00","122.040,96"
40,"calle de valencia, 18, Madrid","203.400,00","183.260,00"
41,"calle nuestra señora del villar, 3, Madrid","26.675,06","24.667,50"
42,"calle de julio, 48, Madrid","61.875,00","10.000,00"
43,"plaza de tauste, 7, Madrid","109.367,55","99.071,69"
44,"calle del puerto de arlabán, 82, Madrid","66.000,00","46.200,00"
45,"calle del puerto de arlabán, 82, Madrid","66.000,00","46.200,00"
46,"calle de riobamba, 9, Madrid","487.981,08","361.105,94"
47,"calle de lérida, 78, Madrid","384.435,55","299.859,69"
48,"calle alejandro sánchez, 27, Madrid","66.440,00","101.644,00"
49,"calle alejandro sánchez, 27, Madrid","52.319,20","70.231,92"
50,"calle de arroyo de fontarrón, 349, Madrid","439.057,00","87.811,40"
51,"calle de la silvina, 28, Madrid","302.073,64","245.127,00"
52,"calle de maría zayas, 19, Madrid","175.500,00","182.520,00"
53,"calle de gainza, 13, Madrid","149.100,00","146.318,00"
54,"calle de martos, 6, Madrid","193.000,00","139.160,00"
55,"calle del amor hermoso, 5, Madrid","288.500,00","215.000,00"
56,"calle de villalobos, 145, Madrid","300.000,00","222.000,00"
57,"calle de siena, 37, Madrid","55.110,30","252.000,00"
58,"calle esmeralda, 25, Madrid","226.600,00","176.748,00"
59,"calle guarnicioneros, 6, Madrid","123.906,00","109.500,51"
60,"calle de godella, 58, Madrid","183.656,00","80.808,64"
61,"calle lanjarón, 5, Madrid","147.247,00","176.896,40"
62,"calle del monte perdido, 24, Madrid","138.300,00","92.000,00"
63,"calle maría de echarri, 3, Madrid","220.388,58","246.835,12"
64,"calle de luisa fernanda, 9, Madrid","475.000,00","389.700,00"
65,"carretera del mediodia, 42, Madrid","401.055,38","882.321,00"
66,"plaza de arteijo, 12, Madrid","184.651,20","240.046,30"
67,"plaza de los pinazo, 17, Madrid","225.700,00","117.564,00"
68,"carrer del alcalde sainz de baranda, 61, Madrid","503.597,67","836.171,85"
69,"calle de villalobos, 119, Madrid","123.266,00","86.286,20"
70,"calle de lubian, 9, Madrid","44.347,00","12.001,00"
71,"calle de san dacio, 18, Madrid","222.333,95","161.050,00"
72,"calle de sarriá, 10, Madrid","186.981,30","142.305,56"
73,"avenida de portugal, 131, Madrid","495.900,00","277.904,00"
74,"calle de berastegui, 26, Madrid","285.781,00","154.321,74"
75,"calle del casino, 20, Madrid","75.112,98","70.605,75"
76,"calle de cavanilles, 16, Madrid","334.250,00","534.800,00"
77,"calle vecinos del pozo, 16, Madrid","73.527,84","155.878,30"
78,"paseo de la esperanza, 55, Madrid","203.000,00","150.420,00"
79,"calle de albares de la ribera, 5, Madrid","174.300,00","83.864,00"
80,"paseo imperial, 27, Madrid","458.277,30","366.622,00"
81,"calle corregidor juan francisco de lujan, 19, Madrid","263.200,00","164.300,00"
82,"calle de jerónima llorente, 40, Madrid","196.300,00","160.966,00"
83,"calle maquinilla, 37, Madrid","414.854,00","207.627,00"
84,"calle de sarriá, 43, Madrid","267.457,00","160.674,20"
85,"paseo de las acacias, 15, Madrid","268.116,42","203.768,16"
86,"avenida de las águilas, 42, Madrid","318.648,00","191.188,80"
87,"calle valentín san narciso, 17, Madrid","72.072,00","127.207,20"
88,"calle de argensola, 11, Madrid","283.376,49","300.000,00"
89,"calle de ángel gonzález tejedor, 2, Madrid","158.006,55","169.800,66"
90,"calle de los morales, 10, Madrid","237.120,00","280.000,00"
91,"calle totana, 18, Madrid","156.491,53","162.751,16"
92,"calle de valderrodrigo, 43, Madrid","352.177,98","302.873,08"
93,"calle de tabernillas, 15, Madrid","150.331,68","114.200,00"
94,"calle puerto del monasterio, 26, Madrid","188.900,00","151.320,00"
95,"calle de paterna, 7, Madrid","90.776,96","100.054,15"
96,"calle lituania, 4, Madrid","408.617,80","351.411,32"
97,"calle de ampelido, 29, Madrid","191.500,00","168.520,00"
98,"calle de rodríguez san pedro, 39, Madrid","268.119,50","316.381,01"
99,"calle villagarcía, 18, Madrid","224.600,00","175.188,00"
100,"calle villaveza, 4, Madrid","276.206,57","143.627,38"
101,"calle alverja, 12, Madrid","305.499,66","274.949,55"
102,"calle de daganzo, 17, Madrid","174.844,80","171.347,61"
103,"calle de lillo, 48, Madrid","297.386,00","214.117,92"
104,"avenida isabel de valois, 28, Madrid","384.044,97","345.640,05"
105,"avenida de alberto de alcocer, 32, Madrid","350.000,00","510.000,00"
106,"calle de alejandro rodríguez, 30, Madrid","567.644,00","476.820,96"
107,"calle de jacinto verdaguer, 18, Madrid","146.014,80","227.782,62"
108,"calle del marqués de urquijo, 7, Madrid","286.000,00","372.000,00"
109,"avenida rosales, 16, Madrid","374.677,50","292.248,45"
110,"calle del arroyo, 7, Madrid","272.100,00","228.564,00"
111,"calle puerto de la morcuera, 26, Madrid","198.000,00","110.880,00"
112,"paseo de la tierra de melide, 28, Madrid","332.348,15","525.109,84"
113,"calle del pico javalón, 14, Madrid","134.371,29","179.437,13"
114,"calle julia moreno, 11, Madrid","63.302,68","104.330,27"
115,"calle de la maquinilla, 33, Madrid","117.545,85","154.000,00"
116,"calle de martín martínez, 6, Madrid","200.158,00","188.348,52"
117,"calle de fermin donaire, 7, Madrid","226.800,00","122.472,00"
118,"calle de ibiza, 52, Madrid","199.034,40","839.923,48"
119,"calle de san isidro labrador, 15, Madrid","806.650,00","467.857,00"
120,"calle de ocaña, 88, Madrid","213.144,60","140.675,37"
121,"calle de cebreros, 65, Madrid","192.083,27","157.508,06"
122,"calle de antonio gades, 49, Madrid","503.800,00","403.040,00"
123,"calle nuestra señora de la soledad, 2, Madrid","140.425,00","137.616,50"
124,"calle del castillo de oropesa, 41, Madrid","216.600,00","125.828,00"
125,"calle del puerto del bruch, 9, Madrid","95.044,82","131.101,00"
126,"calle de caunedo, 19, Madrid","241.082,13","159.314,12"
127,"calle de bravo murillo, 39, Madrid","423.000,00","431.460,00"
128,"calle de galileo, 7, Madrid","311.000,00","366.980,00"
129,"calle de ayllón, 19, Madrid","186.600,00","167.940,00"
130,"carrer de campezo, 14, Madrid","242.592,92","208.629,55"
131,"calle de embajadores, 210, Madrid","611.000,00","403.260,00"
132,"calle de carolina baeza, 14, Madrid","197.200,00","165.648,00"
133,"calle burjasot, 4, Madrid","203.567,00","110.126,18"
134,"avenida de espinela, 6, Madrid","106.886,79","128.000,00"
135,"calle de nicolás usera, 31, Madrid","229.500,00","142.290,00"
136,"carrer de magallanes, 44, Madrid","984.639,18","763.463,92"
137,"camino alto de san isidro, 26, Madrid","72.000,00","240.480,00"
138,"calle del castillo de madrigal de las altas torres, 1, Madrid","200.000,00","160.000,00"
139,"calle de benita lópez, 40, Madrid","70.358,40","111.165,64"
140,"calle de la sierra de tornavacas, 7, Madrid","150.255,00","111.188,70"
141,"calle de la sierra de gredos, 11, Madrid","192.861,30","196.718,22"
142,"calle de la encomienda de palacios, 217, Madrid","1.523,59","142.660,00"
143,"calle de carabelos, 59, Madrid","185.400,00","155.736,00"
144,"calle general álvarez de castro, 41, Madrid","78.210,31","75.082,08"
145,"calle de agosto, 6, Madrid","4.123.301,14","2.968.776,72"
146,"calle de valderrey, 11, Madrid","261.431,00","282.345,48"
147,"calle batel, 10, Madrid","97.254,28","83.725,43"
148,"calle de pirra, 14, Madrid","293.800,00","215.500,00"
